Date,gu,dong,Actual,Predicted
2013-12-18,23,158,34464,33551.79370613933
2017-08-02,23,250,48000,45423.237468849795
2018-06-08,23,85,26500,25780.54544759585
2006-07-30,23,158,32000,32423.53584352691
2012-07-02,23,83,34000,36537.964526996715
2008-04-27,23,158,16000,14241.356525691142
2019-08-03,23,250,43400,41169.12815513267
2017-11-13,23,158,52300,54672.98465602813
2014-09-12,23,158,28300,30979.370313586496
2011-08-01,23,85,40000,38777.02148815497
2009-06-29,23,158,43000,37589.47460370312
2006-10-22,23,158,9450,9820.320139897138
2006-09-05,23,158,20700,20046.048237734518
2016-03-03,23,158,20750,21477.583086993724
2024-06-04,23,85,87500,88671.57666133867
2017-07-10,23,130,33800,32720.87826879004
2020-08-29,23,158,63800,62021.30830798839
2011-06-11,23,130,43000,40859.43034791477
2024-07-06,23,130,51000,50252.26022256729
2016-11-19,23,158,19000,17630.480541177178
2011-09-15,23,158,19000,19135.607942696617
2009-06-05,23,88,20500,23093.212718755956
2018-07-07,23,158,47900,50519.38718820102
2009-09-16,23,158,41000,33482.302341701325
2011-09-16,23,85,26000,25812.032076763102
2014-08-18,23,130,53894,55625.88827166886
2013-05-06,23,158,29000,29188.299714508994
2021-12-07,23,83,49300,47529.61538461538
2011-11-26,23,158,28000,29262.202607769603
2018-04-09,23,85,38500,40599.434710516216
2021-12-22,23,88,30000,25575.81349206349
2007-08-27,23,158,12500,12157.920086875782
2024-08-17,23,88,95800,90896.70352594266
2007-03-16,23,158,31000,30309.7254629464
2020-07-07,23,88,64300,69094.36652236652
2016-10-02,23,85,48000,45681.8875536552
2012-03-30,23,85,11500,10778.681450926322
2006-09-15,23,88,8500,8998.189217541021
2020-02-22,23,158,81500,74481.8253968254
2023-04-25,23,85,113000,104617.62501235808
2015-02-05,23,250,36800,38273.45859425251
2021-02-24,23,158,41500,43521.76074388017
2006-02-25,23,85,25300,26492.206276292425
2008-03-18,23,158,28400,25466.601036498807
2017-10-28,23,88,49300,42800.07149689786
2013-12-11,23,250,25000,25989.3935429837
2016-01-26,23,158,19300,20260.991665725254
2017-02-02,23,85,29500,32296.395284856997
2014-12-29,23,158,34250,33593.904597901594
2018-09-04,23,130,11500,12294.166475469856
2016-03-18,23,88,37500,35825.420417088775
2020-06-13,23,158,43600,42698.19576719577
2007-02-28,23,88,18000,15833.987166070901
2008-03-22,23,158,24000,22119.12092782507
2015-11-28,23,85,37000,33790.91000715168
2022-05-06,23,130,58950,59449.351054985906
2019-11-16,23,158,23000,22608.164205221026
2016-05-15,23,88,39500,39304.96166701171
2008-08-02,23,85,29000,25679.051491763847
2020-07-06,23,130,24500,25802.518957077777
2012-06-19,23,85,9997,14037.582441880406
2006-11-02,23,85,22200,23139.29866045687
2019-11-25,23,158,27200,27487.88707143937
2023-09-26,23,88,37000,35613.644622575746
2020-11-24,23,85,18000,26411.620039682537
2013-11-25,23,85,28800,30029.803580192907
2018-10-11,23,88,68500,67033.92267573698
2016-09-11,23,85,39000,38120.946097518674
2018-04-30,23,83,26500,34081.998329156224
2007-10-29,23,85,26700,26261.15079943977
2013-09-07,23,158,28000,29070.037762102518
2019-11-15,23,158,45000,48808.950917726215
2007-08-14,23,158,19500,16907.500295535403
2014-04-17,23,88,33250,34269.26301391713
2017-03-12,23,85,41500,42134.7574054472
2015-07-27,23,83,30000,29705.2224284144
2019-08-17,23,85,43000,43668.02569066984
2020-03-06,23,130,64000,59196.49358110762
2017-10-07,23,158,22700,22533.474328402604
2009-07-20,23,88,67500,57475.578693059004
2022-01-22,23,130,30000,30707.948175544025
2020-06-27,23,88,59500,59453.829468110525
2020-06-25,23,85,62900,64773.45310245311
2017-07-24,23,85,43000,41928.32709810826
